name,family,area_mm2,Ix_mm4,Iy_mm4,Zx_mm3,Zy_mm3,r_mm,wpm_kg_per_m,thickness_mm,dims
W6,AISC_W,9500,9.0e6,1.2e6,0.18e6,0.05e6,45,74,12.7,{"bf":200,"tf":12}
W8,AISC_W,12000,12e6,1.8e6,0.22e6,0.07e6,48,94,13.0,{"bf":250,"tf":14}
W10,AISC_W,15000,18e6,2.6e6,0.3e6,0.1e6,52,118,14.0,{"bf":300,"tf":16}
W12,AISC_W,18000,24e6,3.2e6,0.4e6,0.12e6,56,142,15.0,{"bf":350,"tf":18}
W14,AISC_W,21000,30e6,4.0e6,0.5e6,0.15e6,60,166,16.0,{"bf":380,"tf":20}
W16,AISC_W,25000,36e6,5.0e6,0.6e6,0.18e6,65,198,18.0,{"bf":400,"tf":22}
W18,AISC_W,28000,42e6,6.0e6,0.7e6,0.2e6,68,230,19.0,{"bf":420,"tf":24}
W21,AISC_W,30000,48e6,6.2e6,0.75e6,0.22e6,70,240,20.0,{"bf":450,"tf":24}
W24,AISC_W,34000,58e6,8.0e6,0.88e6,0.27e6,75,272,22.0,{"bf":500,"tf":26}
W27,AISC_W,38000,72e6,9.6e6,1.05e6,0.32e6,80,304,24.0,{"bf":540,"tf":28}
W30,AISC_W,42000,85e6,11.0e6,1.2e6,0.36e6,85,336,26.0,{"bf":580,"tf":30}
W36,AISC_W,52000,120e6,14.0e6,1.5e6,0.45e6,92,440,30.0,{"bf":640,"tf":34}
IPE80,EURO_IPE,4000,1.2e6,0.2e6,0.03e6,0.01e6,20,20,6.0,{"h":80,"b":46}
IPE100,EURO_IPE,5200,2.2e6,0.4e6,0.05e6,0.012e6,22,26,6.5,{"h":100,"b":55}
IPE120,EURO_IPE,6400,3.5e6,0.6e6,0.07e6,0.018e6,25,32,7.0,{"h":120,"b":64}
IPE140,EURO_IPE,7600,5.0e6,0.9e6,0.09e6,0.025e6,28,38,8.0,{"h":140,"b":73}
IPE160,EURO_IPE,8800,6.5e6,1.1e6,0.11e6,0.03e6,30,44,8.5,{"h":160,"b":82}
IPE200,EURO_IPE,11000,10e6,1.8e6,0.16e6,0.05e6,34,64,9.0,{"h":200,"b":100}
HEA200,EURO_HE,14000,20e6,3.0e6,0.18e6,0.05e6,40,110,12.0,{"h":200,"b":200}
HEB260,EURO_HE,22000,45e6,6.0e6,0.35e6,0.1e6,48,172,14.0,{"h":260,"b":260}
ISMB200,IS_ISMB,12000,10e6,1.8e6,0.1e6,0.03e6,36,94,10.5,{"h":200,"b":100}
ISMB250,IS_ISMB,15000,15e6,2.4e6,0.14e6,0.04e6,39,118,11.0,{"h":250,"b":125}
CHS100,EURO_CHS,8000,3.0e6,3.0e6,0.06e6,0.06e6,28,62,6.0,{"d":100}
HSS100x100,ASS_HSS,9000,3.5e6,3.5e6,0.07e6,0.07e6,30,70,6.0,{"h":100,"b":100}
